country;cumulative_total_cases;daily_new_cases;active_cases;cumulative_total_deaths;daily_new_deaths
Afghanistan;55847.0;7.0;4029.0;2449.0;0.0
Afghanistan;55854.0;7.0;4025.0;2451.0;2.0
Afghanistan;55868.0;14.0;4015.0;2451.0;0.0
Afghanistan;55894.0;26.0;4034.0;2451.0;0.0
Afghanistan;55901.0;7.0;3982.0;2451.0;0.0
Afghanistan;55940.0;39.0;4018.0;2454.0;3.0
Afghanistan;55957.0;17.0;4001.0;2457.0;3.0
Afghanistan;55959.0;2.0;4031.0;2457.0;0.0
Afghanistan;55972.0;13.0;4036.0;2459.0;2.0
Afghanistan;55995.0;23.0;4054.0;2460.0;1.0
Afghanistan;56016.0;21.0;4057.0;2460.0;0.0
Afghanistan;56044.0;28.0;4046.0;2462.0;2.0
Afghanistan;56069.0;25.0;3943.0;2462.0;0.0
Afghanistan;56093.0;24.0;3950.0;2462.0;0.0
Afghanistan;56103.0;10.0;3959.0;2463.0;1.0
Afghanistan;56153.0;50.0;3952.0;2464.0;1.0
Afghanistan;56177.0;24.0;3968.0;2466.0;2.0
Afghanistan;56192.0;15.0;3974.0;2466.0;0.0
Afghanistan;56226.0;34.0;3957.0;2467.0;1.0
Afghanistan;56254.0;28.0;3848.0;2469.0;2.0
Afghanistan;56290.0;36.0;3827.0;2469.0;0.0
Afghanistan;56294.0;4.0;3830.0;2470.0;1.0
Afghanistan;56322.0;28.0;3837.0;2472.0;2.0
Afghanistan;56384.0;62.0;3242.0;2476.0;4.0
Afghanistan;56454.0;70.0;2497.0;2484.0;8.0
Afghanistan;56517.0;63.0;2478.0;2489.0;5.0
Afghanistan;56572.0;55.0;2289.0;2495.0;6.0
Afghanistan;56595.0;23.0;2301.0;2496.0;1.0
Afghanistan;56676.0;81.0;2377.0;2497.0;1.0
Afghanistan;56720.0;44.0;2327.0;2508.0;11.0
Afghanistan;56779.0;59.0;2365.0;2512.0;4.0
Afghanistan;56873.0;94.0;2433.0;2512.0;0.0
Afghanistan;56943.0;70.0;2487.0;2516.0;4.0
Afghanistan;57019.0;76.0;2542.0;2521.0;5.0
Afghanistan;57144.0;125.0;2662.0;2521.0;0.0
Afghanistan;57160.0;16.0;2677.0;2521.0;0.0
Afghanistan;57242.0;82.0;2724.0;2529.0;8.0
Afghanistan;57364.0;122.0;2830.0;2529.0;0.0
Afghanistan;57492.0;128.0;2947.0;2532.0;3.0
Afghanistan;57534.0;42.0;2979.0;2533.0;1.0
Afghanistan;57612.0;78.0;2994.0;2535.0;2.0
Afghanistan;57721.0;109.0;3077.0;2539.0;4.0
Afghanistan;57793.0;72.0;3137.0;2540.0;1.0
Afghanistan;57898.0;105.0;3184.0;2546.0;6.0
Afghanistan;58038.0;140.0;3239.0;2555.0;9.0
Afghanistan;58214.0;176.0;3385.0;2557.0;2.0
Afghanistan;58346.0;132.0;3484.0;2561.0;4.0
Afghanistan;58542.0;196.0;3629.0;2565.0;4.0
Afghanistan;58733.0;191.0;3798.0;2572.0;7.0
Afghanistan;58847.0;114.0;3873.0;2582.0;10.0
